key,value,date
MÁRIÓ,85,2004
MÁRK,1040,2004
MÁRKÓ,119,2004
MARTIN,784,2004
MÁRTON,582,2004
MÁTÉ,1571,2004
MÁTYÁS,251,2004
MIHÁLY,197,2004
MIKLÓS,200,2004
MILÁN,692,2004
NÁNDOR,176,2004
NIKOLASZ,,2004
NIMRÓD,,2004
NOEL,153,2004
NOLEN,,2004
NORBERT,497,2004
OLIVÉR,377,2004
PÁL,97,2004
PATRIK,796,2004
PÉTER,1168,2004
RAJMUND,,2004
RENÁTÓ,96,2004
RICHÁRD,575,2004
RIKÁRDÓ,,2004
RÓBERT,425,2004
ROLAND,641,2004
RÓMEÓ,,2004
RUDOLF,,2004
SÁMUEL,,2004
SÁNDOR,458,2004
SEBESTYÉN,,2004
SIMON,66,2004
SOMA,121,2004
SZABOLCS,635,2004
SZEBASZTIÁN,99,2004
SZILÁRD,145,2004
SZILVESZTER,55,2004
TAMÁS,1193,2004
TIBOR,320,2004
VALENTIN,,2004
VENCEL,,2004
VIKTOR,285,2004
VILMOS,78,2004
VINCE,98,2004
ZALÁN,302,2004
ZÉNÓ,,2004
ZENTE,,2004
ZÉTÉNY,112,2004
ZOLTÁN,950,2004
ZSIGMOND,,2004
ZSOLT,692,2004
ZSOMBOR,452,2004
ÁBEL,202,2005
ÁDÁM,1277,2005
ADRIÁN,255,2005
ÁGOSTON,,2005
ÁKOS,783,2005
ALBERT,,2005
ALEX,324,2005
ALEXANDER,79,2005
ÁLMOS,,2005
ANDOR,63,2005
ANDRÁS,738,2005
ANTAL,66,2005
ARMAND,,2005
ÁRMIN,99,2005
ARNOLD,,2005
ÁRON,458,2005
ÁRPÁD,105,2005
ATTILA,794,2005
BALÁZS,1272,2005
BÁLINT,1065,2005
BARNA,87,2005
BARNABÁS,642,2005
BÉLA,97,2005
BENCE,1844,2005
BENDE,,2005
BENDEGÚZ,198,2005
BENEDEK,535,2005
BENETT,,2005
BENJAMIN,63,2005
BENJÁMIN,336,2005
BERTALAN,72,2005
BOLDIZSÁR,115,2005
BOTOND,557,2005
BRÁJEN,,2005
BRENDON,97,2005
BULCSÚ,,2005
CSABA,504,2005
CSANÁD,111,2005
CSONGOR,196,2005
DÁNIEL,1453,2005
DÁVID,1447,2005
DÉNES,75,2005
DENISZ,,2005
DEZSŐ,,2005
DOMINIK,918,2005
DOMONKOS,109,2005
DONÁT,98,2005
DORIÁN,,2005
ENDRE,,2005
ERIK,394,2005
ERNŐ,,2005
FÉLIX,,2005
FERENC,394,2005
FLÓRIÁN,66,2005
GÁBOR,754,2005
GELLÉRT,67,2005
GERGELY,392,2005
GERGŐ,1076,2005
GÉZA,,2005
GYÖRGY,174,2005
GYULA,137,2005
HENRIK,,2005
HUBA,,2005
HUNOR,143,2005
IMRE,193,2005
ISTVÁN,621,2005
IVÁN,,2005
JÁNOS,507,2005
JENŐ,,2005
JÓZSEF,516,2005
KÁLMÁN,,2005
KÁROLY,124,2005
KENDE,64,2005
KEVIN,431,2005
KOLOS,,2005
KOPPÁNY,,2005
KORNÉL,218,2005
KRISTÓF,829,2005
KRISZTIÁN,713,2005
KRISZTOFER,247,2005
LAJOS,153,2005
LÁSZLÓ,983,2005
LEVENTE,1501,2005
LÓRÁNT,77,2005
LŐRINC,,2005
MARCELL,898,2005
MÁRIÓ,79,2005
MÁRK,1121,2005
MÁRKÓ,124,2005
MARTIN,680,2005
MÁRTON,648,2005
MÁTÉ,1663,2005
MÁTYÁS,268,2005
MIHÁLY,198,2005
MIKLÓS,197,2005
MILÁN,916,2005
NÁNDOR,173,2005
NIKOLASZ,,2005
NIMRÓD,,2005
NOEL,174,2005
NOLEN,,2005
NORBERT,408,2005
OLIVÉR,383,2005
PÁL,89,2005
PATRIK,693,2005
PÉTER,1103,2005
RAJMUND,64,2005
RENÁTÓ,105,2005
RICHÁRD,526,2005
RIKÁRDÓ,,2005
RÓBERT,399,2005
ROLAND,602,2005
RÓMEÓ,,2005
RUDOLF,,2005
SÁMUEL,,2005
SÁNDOR,436,2005
SEBESTYÉN,,2005
SIMON,79,2005
SOMA,85,2005
SZABOLCS,638,2005
SZEBASZTIÁN,112,2005
SZILÁRD,160,2005
SZILVESZTER,,2005
TAMÁS,1152,2005
TIBOR,331,2005
VALENTIN,,2005
VENCEL,,2005
VIKTOR,299,2005
VILMOS,70,2005
VINCE,128,2005
ZALÁN,338,2005
ZÉNÓ,,2005
ZENTE,,2005
ZÉTÉNY,140,2005
ZOLTÁN,896,2005
ZSIGMOND,,2005
ZSOLT,600,2005
ZSOMBOR,575,2005
ÁBEL,210,2006
ÁDÁM,1359,2006
ADRIÁN,234,2006
ÁGOSTON,76,2006
ÁKOS,698,2006
ALBERT,,2006
ALEX,324,2006
ALEXANDER,73,2006
ÁLMOS,68,2006
ANDOR,72,2006
ANDRÁS,725,2006
ANTAL,66,2006
ARMAND,,2006
ÁRMIN,103,2006
ARNOLD,75,2006
ÁRON,503,2006
ÁRPÁD,97,2006
ATTILA,784,2006
BALÁZS,1347,2006
BÁLINT,1149,2006
BARNA,105,2006
BARNABÁS,626,2006
BÉLA,114,2006
BENCE,1795,2006
BENDE,,2006
BENDEGÚZ,244,2006
BENEDEK,498,2006
BENETT,,2006
BENJAMIN,87,2006
BENJÁMIN,305,2006
BERTALAN,110,2006
BOLDIZSÁR,136,2006
BOTOND,618,2006
BRÁJEN,,2006
BRENDON,73,2006
BULCSÚ,,2006
CSABA,528,2006
CSANÁD,87,2006
CSONGOR,208,2006
DÁNIEL,1343,2006
DÁVID,1396,2006
DÉNES,71,2006
DENISZ,,2006
DEZSŐ,,2006
DOMINIK,1002,2006
DOMONKOS,131,2006
DONÁT,108,2006
DORIÁN,,2006
ENDRE,,2006
ERIK,377,2006
ERNŐ,,2006
FÉLIX,,2006
FERENC,388,2006
FLÓRIÁN,,2006
GÁBOR,751,2006
GELLÉRT,,2006
GERGELY,371,2006
GERGŐ,1102,2006
GÉZA,,2006
GYÖRGY,176,2006
GYULA,146,2006
HENRIK,,2006
HUBA,,2006
HUNOR,161,2006
IMRE,190,2006
ISTVÁN,664,2006
IVÁN,,2006
JÁNOS,483,2006
JENŐ,,2006
JÓZSEF,455,2006
KÁLMÁN,,2006
KÁROLY,136,2006
KENDE,,2006
KEVIN,447,2006
KOLOS,,2006
KOPPÁNY,88,2006
KORNÉL,218,2006
KRISTÓF,870,2006
KRISZTIÁN,675,2006
KRISZTOFER,195,2006
LAJOS,167,2006
LÁSZLÓ,819,2006
LEVENTE,1542,2006
LÓRÁNT,,2006
LŐRINC,,2006
MARCELL,848,2006
MÁRIÓ,,2006
MÁRK,1105,2006
MÁRKÓ,112,2006
MARTIN,723,2006
MÁRTON,577,2006
MÁTÉ,1685,2006
MÁTYÁS,286,2006
MIHÁLY,226,2006
MIKLÓS,216,2006
MILÁN,810,2006
NÁNDOR,176,2006
NIKOLASZ,,2006
NIMRÓD,83,2006
NOEL,204,2006
NOLEN,,2006
NORBERT,446,2006
OLIVÉR,386,2006
PÁL,,2006
PATRIK,693,2006
PÉTER,1135,2006
RAJMUND,82,2006
RENÁTÓ,98,2006
