key,value,date
LIA,109,2010
LILI,802,2010
LILIÁNA,341,2010
LILIEN,199,2010
LILLA,597,2010
LINETT,,2010
LÍVIA,112,2010
LIZA,161,2010
LOTTI,115,2010
LUCA,696,2010
MAJA,286,2010
MÁRIA,106,2010
MELINDA,106,2010
MELISSZA,157,2010
MERCÉDESZ,,2010
MIA,,2010
MIRA,245,2010
MÍRA,112,2010
MIRELLA,,2010
MÓNIKA,,2010
NATÁLIA,140,2010
NATASA,,2010
NIKOLETT,298,2010
NIKOLETTA,,2010
NOÉMI,619,2010
NÓRA,927,2010
NORINA,,2010
OLÍVIA,,2010
ORSOLYA,118,2010
PANKA,,2010
PANNA,360,2010
PATRÍCIA,,2010
PETRA,677,2010
RAMÓNA,259,2010
REBEKA,337,2010
REGINA,342,2010
RÉKA,799,2010
RENÁTA,,2010
RÓZA,,2010
SÁRA,452,2010
SZABINA,,2010
SZILVIA,,2010
SZOFI,,2010
SZOFIA,,2010
SZÓFIA,133,2010
SZONJA,253,2010
TAMARA,214,2010
TÍMEA,256,2010
VANDA,204,2010
VANESSZA,221,2010
VERONIKA,167,2010
VIKTÓRIA,704,2010
VIRÁG,342,2010
VIVIEN,603,2010
ZITA,138,2010
ZOÉ,398,2010
ZSELYKE,115,2010
ZSÓFIA,830,2010
ABIGÉL,129,2011
ADÉL,158,2011
ADRIENN,173,2011
ÁGNES,,2011
ALEXA,104,2011
ALEXANDRA,320,2011
ALÍZ,195,2011
AMANDA,172,2011
AMIRA,124,2011
ANDREA,,2011
ANETT,,2011
ANITA,,2011
ANNA,1245,2011
ANNABELLA,,2011
ANNAMÁRIA,,2011
BARBARA,269,2011
BEATRIX,,2011
BELLA,,2011
BERNADETT,112,2011
BETTINA,,2011
BIANKA,364,2011
BÍBORKA,103,2011
BLANKA,267,2011
BOGLÁRKA,822,2011
BORBÁLA,169,2011
BORÓKA,,2011
BRIGITTA,,2011
CINTIA,,2011
CSENGE,505,2011
CSILLA,,2011
DALMA,132,2011
DIÁNA,149,2011
DOMINIKA,,2011
DÓRA,698,2011
DORINA,458,2011
DORKA,422,2011
DOROTTYA,222,2011
DZSENIFER,162,2011
DZSESSZIKA,105,2011
EDINA,,2011
ELIZA,,2011
ELIZABET,107,2011
EMESE,222,2011
EMILI,,2011
EMÍLIA,190,2011
EMMA,642,2011
ENIKŐ,219,2011
ERIKA,,2011
ESZTER,584,2011
ÉVA,,2011
EVELIN,114,2011
FANNI,572,2011
FLÓRA,334,2011
FRUZSINA,282,2011
GABRIELLA,,2011
GEORGINA,,2011
GRÉTA,458,2011
HAJNALKA,,2011
HANGA,153,2011
HANNA,1304,2011
HÉDI,,2011
HENRIETTA,,2011
IVETT,,2011
IZABELLA,219,2011
JANKA,229,2011
JÁZMIN,1080,2011
JOHANNA,127,2011
JUDIT,,2011
JÚLIA,224,2011
JULIANNA,107,2011
KAMILLA,292,2011
KATA,226,2011
KATALIN,127,2011
KIARA,169,2011
KINCSŐ,160,2011
KINGA,259,2011
KIRA,182,2011
KÍRA,,2011
KITTI,246,2011
KLAUDIA,,2011
KRISZTINA,170,2011
LARA,301,2011
LAURA,588,2011
LEILA,161,2011
